time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2015-09-16T15:17:36.170Z	36.3333	-96.8216	5	3.4	mb_lg		127	0.185	0.48	us	us20003jzj	2015-09-16T15:31:20.309Z	"1km WSW of Pawnee, Oklahoma"	earthquake
2015-09-16T15:03:23.540Z	38.0223333	-118.9876667	4.92	1.17	md	12	210	0.1551	0.05	nc	nc72525866	2015-09-16T17:37:56.753Z	"31km SE of Bridgeport, California"	earthquake
2015-09-16T15:03:14.000Z	64.5846	-147.889	16.6	0.8	ml				0.4	ak	ak11703732	2015-09-16T15:23:29.206Z	"29km SSW of Fairbanks, Alaska"	earthquake
2015-09-16T14:55:52.581Z	36.6236	-116.2868	6.6	0.4	ml	17	97.08	0.109	0.1056	nn	nn00510922	2015-09-16T16:20:52.315Z	"52km SE of Beatty, Nevada"	earthquake
2015-09-16T14:45:10.000Z	60.9531	-150.4625	20.4	1.9	ml				0.33	ak	ak11703719	2015-09-16T15:07:48.139Z	"42km SW of Anchorage, Alaska"	earthquake
2015-09-16T14:34:25.000Z	60.0954	-141.4876	15.1	1.6	ml				0.04	ak	ak11703716	2015-09-16T14:51:56.117Z	"52km E of Cape Yakataga, Alaska"	earthquake
2015-09-16T14:33:00.090Z	40.2924995	-124.5371704	20.05	2	md	11	272	0.1956	0.14	nc	nc72525836	2015-09-16T14:34:32.320Z	"39km SW of Ferndale, California"	earthquake
2015-09-16T14:25:29.370Z	33.6735	-116.7608333	17.169	0.4	ml	14	129	0.05409	0.08	ci	ci37243559	2015-09-16T18:00:49.213Z	"8km SSW of Idyllwild, California"	earthquake
2015-09-16T14:03:22.300Z	-6.0008	151.4536	6.27	6	mwb		20	1.931	1.13	us	us20003jyz	2015-09-16T16:09:30.599Z	"153km ESE of Kimbe, Papua New Guinea"	earthquake
2015-09-16T13:48:55.000Z	63.3004	-150.4567	129.3	1.4	ml				0.57	ak	ak11703629	2015-09-16T14:03:38.673Z	"76km W of Cantwell, Alaska"	earthquake
2015-09-16T13:48:44.630Z	38.7808342	-122.7699966	1.15	2.92	md	28	65	0.03354	0.05	nc	nc72525816	2015-09-16T15:11:13.733Z	"1km WNW of The Geysers, California"	earthquake
2015-09-16T13:45:13.000Z	58.9574	-154.3748	137.1	2.2	ml				1.04	ak	ak11703626	2015-09-16T14:03:37.946Z	"93km SSE of Old Iliamna, Alaska"	earthquake
2015-09-16T13:44:36.880Z	37.7946667	-119.0408333	4.37	3.24	md	31	146	0.08336	0.05	nc	nc72525806	2015-09-16T16:35:43.400Z	"17km NNW of Mammoth Lakes, California"	earthquake
2015-09-16T13:44:18.080Z	38.7816658	-122.7616653	0.24	2.81	md	32	63	0.03716	0.14	nc	nc72525801	2015-09-16T14:17:10.604Z	"0km NW of The Geysers, California"	earthquake
2015-09-16T13:40:13.010Z	33.2726667	-116.774	12.083	0.87	ml	30	91	0.03875	0.23	ci	ci37243535	2015-09-16T18:03:11.590Z	"4km NNW of Lake Henshaw, California"	earthquake
2015-09-16T13:37:31.808Z	41.8611	-119.6375	11.1	2.9	ml	7	98.63	0.15	0.2082	nn	nn00510908	2015-09-16T18:16:17.040Z	"69km ESE of Lakeview, Oregon"	earthquake
2015-09-16T13:27:31.650Z	19.2931671	-155.2086639	8.63	2.35	ml	58	137	0.01921	0.31	hv	hv61039831	2015-09-16T13:33:17.520Z	"15km SSE of Volcano, Hawaii"	earthquake
2015-09-16T13:25:55.000Z	65.1673	-148.9794	29.9	0.9	ml				0.41	ak	ak11703621	2015-09-16T13:47:33.192Z	"57km NW of Ester, Alaska"	earthquake
2015-09-16T13:08:59.190Z	24.24	121.8421	17.66	5.2	mww		29	0.235	0.78	us	us20003jy9	2015-09-16T17:39:27.507Z	"37km NE of Hualian, Taiwan"	earthquake
2015-09-16T13:06:00.000Z	64.1835	-153.167	13.5	2.5	ml				1.04	ak	ak11703613	2015-09-16T13:32:34.029Z	"121km SSW of Tanana, Alaska"	earthquake
2015-09-16T12:37:19.550Z	32.8465	-116.2698333	9.477	1.52	ml	43	68	0.07067	0.22	ci	ci37243519	2015-09-16T17:48:34.172Z	"24km E of Pine Valley, California"	earthquake
2015-09-16T12:30:24.430Z	33.596	-116.8111667	9.448	0.7	ml	28	50	0.03935	0.1	ci	ci37243511	2015-09-16T17:38:13.740Z	"14km WNW of Anza, California"	earthquake
2015-09-16T12:09:52.560Z	36.3398	-96.7903	5	3.5	mb_lg		65	0.18	0.49	us	us20003jxh	2015-09-16T15:25:22.058Z	"1km E of Pawnee, Oklahoma"	earthquake
2015-09-16T11:56:46.000Z	61.5252	-146.4029	16	2.3	ml				0.95	ak	ak11703420	2015-09-16T12:12:55.893Z	"44km N of Valdez, Alaska"	earthquake
2015-09-16T11:49:37.000Z	-30.1584	-177.6298	10.74	4.9	mb		60	0.946	1.04	us	us20003jxf	2015-09-16T12:12:00.646Z	"102km SSE of Raoul Island, New Zealand"	earthquake
2015-09-16T11:10:08.300Z	35.3237	78.5183	10	4.9	mb		77	4.645	0.96	us	us20003jxe	2015-09-16T11:37:25.603Z	"154km NNE of Leh, India"	earthquake
2015-09-16T11:09:29.000Z	62.3798	-149.1341	0.1	1.4	ml				0.57	ak	ak11703363	2015-09-16T11:18:22.160Z	"44km ENE of Y, Alaska"	earthquake
2015-09-16T10:29:14.600Z	18.7924	-64.3555	42	3.3	Md	14	284.4	0.06647533	0.18	pr	pr15259003	2015-09-16T10:51:16.101Z	"49km NNE of Road Town, British Virgin Islands"	earthquake
2015-09-16T09:40:14.000Z	66.8519	-146.2011	0.1	1.4	ml				0.51	ak	ak11703354	2015-09-16T09:50:00.466Z	"51km NW of Fort Yukon, Alaska"	earthquake
2015-09-16T09:07:41.450Z	35.9897	-96.8055	4.48	2.8	mb_lg		59	0.044	0.52	us	us20003jx3	2015-09-16T12:05:55.874Z	"3km W of Cushing, Oklahoma"	earthquake
2015-09-16T09:07:16.240Z	35.9932	-96.8113	4.76	2.6	mb_lg		65	0.045	0.53	us	us20003jwy	2015-09-16T17:09:54.239Z	"4km WNW of Cushing, Oklahoma"	earthquake
2015-09-16T09:06:57.000Z	61.2044	-151.52	70.3	3.1	ml				0.68	ak	ak11703292	2015-09-16T15:14:19.569Z	"58km NNW of Nikiski, Alaska"	earthquake
2015-09-16T09:03:40.710Z	35.9903	-96.8225	1.17	2.9	mb_lg		50	0.039	0.69	us	us20003jxb	2015-09-16T11:21:53.897Z	"5km W of Cushing, Oklahoma"	earthquake
2015-09-16T09:00:52.000Z	63.5479	-147.3133	0.1	1.8	ml				0.67	ak	ak11703287	2015-09-16T09:16:54.568Z	"83km ENE of Cantwell, Alaska"	earthquake
2015-09-16T08:56:42.550Z	33.5123333	-116.4685	9.265	0.27	ml	23	123	0.06895	0.11	ci	ci37243487	2015-09-16T17:37:41.072Z	"20km ESE of Anza, California"	earthquake
2015-09-16T08:55:56.990Z	44.4145	-114.0711667	6.62	1.32	md	6	174	0.489	0.05	mb	mb80098204	2015-09-16T17:56:57.620Z	"16km SE of Challis, Idaho"	earthquake
2015-09-16T08:50:44.000Z	63.5448	-147.1374	7.1	1.2	ml				0.38	ak	ak11703280	2015-09-16T09:16:53.958Z	"88km SW of Delta Junction, Alaska"	earthquake
2015-09-16T08:50:14.170Z	37.5243333	-118.82	6.64	0.86	md	16	146	0.06598	0.03	nc	nc72525736	2015-09-16T17:29:23.808Z	"19km SE of Mammoth Lakes, California"	earthquake
2015-09-16T08:38:40.040Z	33.1385	-115.6148333	7.702	1.27	ml	32	85	0.03887	0.18	ci	ci37243479	2015-09-16T16:48:25.839Z	"10km W of Calipatria, California"	earthquake
2015-09-16T08:28:47.080Z	33.6725	-116.7235	15.978	0.61	ml	27	81	0.03934	0.1	ci	ci37243471	2015-09-16T16:41:32.024Z	"8km S of Idyllwild, California"	earthquake
2015-09-16T08:19:16.802Z	41.878	-119.6354	7.1	1.5	ml	4	250.24	0.141	0.1278	nn	nn00510913	2015-09-16T14:11:53.135Z	"68km ESE of Lakeview, Oregon"	earthquake
2015-09-16T07:59:38.001Z	41.899	-119.6192	8.9	2.3	ml	5	177.93	0.141	0.1075	nn	nn00510902	2015-09-16T17:55:34.760Z	"69km ESE of Lakeview, Oregon"	earthquake
2015-09-16T07:55:36.458Z	36.8824	-116.1802	1.9	1	ml	15	98.8	0.061	0.123	nn	nn00510901	2015-09-16T18:12:49.481Z	"51km E of Beatty, Nevada"	earthquake
2015-09-16T07:55:00.620Z	35.9305	-120.4801636	5.02	0.85	md	15	103	0.01756	0.04	nc	nc72525731	2015-09-16T07:56:37.880Z	"25km SSW of Coalinga, California"	earthquake
2015-09-16T07:52:47.900Z	19.5685005	-155.6334991	70.08	2.55	md	25	161	0.02894	0.33	hv	hv61039511	2015-09-16T15:55:26.940Z	"27km ENE of Honaunau-Napoopoo, Hawaii"	earthquake
2015-09-16T07:48:46.540Z	35.97	-117.9088333	4.263	-0.03	ml	8	197	0.04052	0.04	ci	ci37243463	2015-09-16T17:48:51.670Z	"4km N of Little Lake, California"	earthquake
2015-09-16T07:40:59.920Z	1.8523	126.38	52.69	6.3	mwb		20	4.613	1.35	us	us20003jwc	2015-09-16T15:48:10.040Z	"140km ENE of Bitung, Indonesia"	earthquake
2015-09-16T07:34:10.760Z	37.5978333	-118.7868333	6.6	0.87	md	19	97	0.03447	0.05	nc	nc72525721	2015-09-16T17:19:11.291Z	"17km ESE of Mammoth Lakes, California"	earthquake
2015-09-16T07:17:57.600Z	18.9095	-67.444	7	3	Md	10	226.8	0.5228195	0.44	pr	pr15259005	2015-09-16T15:20:27.938Z	"58km NW of San Antonio, Puerto Rico"	earthquake
2015-09-16T07:15:33.700Z	19.503	-65.6003	131	3.4	Md	8	266.4	1.22620036	0.63	pr	pr15259004	2015-09-16T15:18:04.509Z	"121km NNE of Vieques, Puerto Rico"	earthquake
2015-09-16T07:09:20.320Z	36.0155	-96.8398	4.24	1.4	ml		175	0.062	0.46	us	us20003jwb	2015-09-16T08:02:18.040Z	"7km WNW of Cushing, Oklahoma"	earthquake
2015-09-16T07:07:39.430Z	36.3255	-96.7995	5	1.9	ml		70	0.17	0.65	us	us20003jwa	2015-09-16T08:03:37.040Z	"1km SSE of Pawnee, Oklahoma"	earthquake
2015-09-16T06:27:24.310Z	37.4918333	-118.844	7.98	0.87	md	16	167	0.0974	0.03	nc	nc72525716	2015-09-16T16:47:51.950Z	"20km SSE of Mammoth Lakes, California"	earthquake
2015-09-16T06:24:53.670Z	33.309	-116.1955	10.763	0.91	ml	42	63	0.1259	0.19	ci	ci37243455	2015-09-16T16:40:46.394Z	"18km ENE of Borrego Springs, California"	earthquake
2015-09-16T06:21:24.000Z	64.6366	-149.1303	12.5	1.6	ml				0.73	ak	ak11703200	2015-09-16T06:33:42.404Z	"6km N of North Nenana, Alaska"	earthquake
2015-09-16T06:19:47.000Z	59.7022	-152.5595	58.4	1.7	ml				0.52	ak	ak11703199	2015-09-16T06:33:41.653Z	"41km W of Anchor Point, Alaska"	earthquake
2015-09-16T05:58:08.587Z	39.3199	-119.9781	7.8	1.3	ml	16	67.61	0.053	0.1273	nn	nn00510899	2015-09-16T14:28:09.640Z	"7km N of Incline Village, Nevada"	earthquake
2015-09-16T05:53:29.470Z	34.6888333	-116.3316667	6.071	1.11	ml	15	70	0.1403	0.12	ci	ci37243447	2015-09-16T17:45:44.519Z	"16km WSW of Ludlow, California"	earthquake
2015-09-16T05:51:32.241Z	38.6607	-118.7996	6.6	1.2	ml	8	154.27	0.219	0.1243	nn	nn00510898	2015-09-16T15:11:36.989Z	"21km NW of Hawthorne, Nevada"	earthquake
2015-09-16T05:39:04.700Z	37.5236667	-118.8258333	7.17	2.51	md	33	58	0.0663	0.04	nc	nc72525701	2015-09-16T16:41:43.580Z	"18km SE of Mammoth Lakes, California"	earthquake
2015-09-16T05:39:02.730Z	32.9311667	-115.5433333	5.708	1.63	ml	14	82	0.03302	0.2	ci	ci37243439	2015-09-16T16:17:39.509Z	"5km SSW of Brawley, California"	earthquake
2015-09-16T05:38:37.120Z	32.9241667	-115.5431667	5.778	1.42	ml	16	81	0.02702	0.21	ci	ci37243431	2015-09-16T15:21:45.714Z	"6km S of Brawley, California"	earthquake
2015-09-16T05:17:38.000Z	61.3011	-152.1256	0	1.5	ml				0.61	ak	ak11703153	2015-09-16T05:30:53.496Z	"81km NNW of Nikiski, Alaska"	earthquake
2015-09-16T05:10:16.611Z	39.3143	-119.9749	7.2	0.7	ml	11	100.08	0.052	0.1269	nn	nn00510944	2015-09-16T17:59:54.233Z	"6km N of Incline Village, Nevada"	earthquake
2015-09-16T05:07:39.000Z	65.263	-148.9942	6.9	0.8	ml				0.36	ak	ak11703150	2015-09-16T05:17:55.889Z	"65km NW of Ester, Alaska"	earthquake
2015-09-16T05:01:01.098Z	41.8606	-119.6268	9.8	2.1	ml	7	144.09	0.156	0.2081	nn	nn00510896	2015-09-16T18:03:03.070Z	"72km ESE of Lakeview, Oregon"	earthquake
2015-09-16T04:48:01.060Z	36.4978	-98.9294	7.21	4	mb_lg		159	0.131	0.42	us	us20003jvv	2015-09-16T17:14:19.419Z	"25km ENE of Mooreland, Oklahoma"	earthquake
2015-09-16T04:47:49.000Z	66.5338	-147.0979	0.1	1.4	ml				0.76	ak	ak11703115	2015-09-16T05:03:32.157Z	"81km W of Fort Yukon, Alaska"	earthquake
2015-09-16T04:45:38.380Z	34.3168333	-117.6813333	7.204	1.34	ml	39	67	0.06509	0.23	ci	ci37243423	2015-09-16T12:11:23.913Z	"7km SW of Wrightwood, California"	earthquake
2015-09-16T04:44:00.660Z	46.8611667	-111.9126667	-2.93	1.14	ml	13	223	0.16	0.16	mb	mb80098184	2015-09-16T16:44:14.370Z	"18km NE of Helena Valley Northwest, Montana"	earthquake
2015-09-16T04:30:01.100Z	33.9696667	-116.555	11.843	0.63	ml	28	57	0.1033	0.17	ci	ci37243407	2015-09-16T15:17:39.402Z	"5km W of Desert Hot Springs, California"	earthquake
2015-09-16T04:29:56.000Z	64.6964	-146.8917	12.1	0.6	ml				0.57	ak	ak11703113	2015-09-16T04:51:03.538Z	"8km ENE of Eielson Air Force Base, Alaska"	earthquake
2015-09-16T04:27:17.890Z	33.2088333	-116.7566667	12.975	1.04	ml	28	43	0.02713	0.25	ci	ci37243399	2015-09-16T12:11:57.289Z	"4km S of Lake Henshaw, California"	earthquake
2015-09-16T04:22:02.520Z	39.2416667	-123.3223333	3.9	1.31	md	7	230	0.03955	0.05	nc	nc72525681	2015-09-16T16:17:14.740Z	"10km WSW of Redwood Valley, California"	earthquake
2015-09-16T04:19:37.930Z	32.9266667	-115.5411667	5.858	1.46	ml	24	76	0.03003	0.28	ci	ci37243391	2015-09-16T15:10:17.333Z	"6km S of Brawley, California"	earthquake
2015-09-16T04:16:34.960Z	32.9263333	-115.5365	5.718	1.71	ml	25	87	0.03209	0.22	ci	ci37243383	2015-09-16T15:03:25.478Z	"6km S of Brawley, California"	earthquake
2015-09-16T04:08:38.780Z	32.9278333	-115.5418333	8.458	2.03	ml	31	73	0.03071	0.24	ci	ci37243375	2015-09-16T14:59:07.120Z	"6km S of Brawley, California"	earthquake
2015-09-16T04:02:57.000Z	60.9866	-150.7939	14	1.7	ml				0.72	ak	ak11703086	2015-09-16T04:25:32.294Z	"42km NE of Nikiski, Alaska"	earthquake
2015-09-16T03:59:20.110Z	32.9285	-115.5428333	6.188	1.84	ml	30	75	0.03087	0.25	ci	ci37243367	2015-09-16T14:49:56.505Z	"6km SSW of Brawley, California"	earthquake
2015-09-16T03:57:55.570Z	36.0371667	-117.8141667	2.847	0.69	ml	9	107	0.0414	0.07	ci	ci37243359	2015-09-16T12:12:29.431Z	"12km E of Coso Junction, California"	earthquake
2015-09-16T03:51:29.310Z	1.6685	96.4302	27.72	4.7	mb		203	1.2	0.51	us	us20003jvr	2015-09-16T11:54:06.060Z	"89km S of Sinabang, Indonesia"	earthquake
2015-09-16T03:47:10.950Z	33.0606667	-116.447	4.842	1.78	ml	49	27	0.128	0.21	ci	ci37243351	2015-09-16T12:13:00.230Z	"15km E of Julian, California"	earthquake
2015-09-16T03:47:06.720Z	32.9196667	-115.5543333	4.668	1.35	ml	16	71	0.01892	0.18	ci	ci37243343	2015-09-16T14:37:30.944Z	"7km SSW of Brawley, California"	earthquake
2015-09-16T03:43:32.280Z	32.9226667	-115.5361667	8.058	1.75	ml	27	72	0.02955	0.28	ci	ci37243335	2015-09-16T14:28:52.555Z	"6km S of Brawley, California"	earthquake
2015-09-16T03:43:26.800Z	36.0036	-96.8145	5	2.7	mb_lg		57	0.054	0.64	us	us20003jvw	2015-09-16T05:09:43.240Z	"4km WNW of Cushing, Oklahoma"	earthquake
2015-09-16T03:32:13.850Z	32.9288333	-115.5415	7.968	1.98	ml	34	73	0.03171	0.24	ci	ci37243327	2015-09-16T14:21:15.352Z	"6km S of Brawley, California"	earthquake
2015-09-16T03:30:02.440Z	32.9303333	-115.5418333	5.528	2	ml	26	75	0.03287	0.24	ci	ci37243319	2015-09-16T14:14:05.371Z	"6km SSW of Brawley, California"	earthquake
2015-09-16T03:27:57.820Z	32.9313333	-115.5413333	11.918	3.28	ml	46	73	0.03395	0.24	ci	ci37243311	2015-09-16T16:24:25.761Z	"5km S of Brawley, California"	earthquake
2015-09-16T03:19:26.220Z	32.9286667	-115.5425	8.058	2.87	ml	42	73	0.03115	0.25	ci	ci37243303	2015-09-16T16:29:36.298Z	"6km SSW of Brawley, California"	earthquake
2015-09-16T03:17:41.100Z	44.8435	-111.5425	13.5	0.59	md	8	230	0.081	0.07	mb	mb80098194	2015-09-16T17:29:17.578Z	"40km WNW of West Yellowstone, Montana"	earthquake
2015-09-16T03:15:43.000Z	19.1917	-67.7389	68	3.2	Md	9	255.6	0.83992479	0.82	pr	pr15259002	2015-09-16T11:18:17.859Z	"97km NE of Punta Cana, Dominican Republic"	earthquake
2015-09-16T03:11:12.000Z	65.1143	-148.6277	8.4	1.2	ml				0.6	ak	ak11703079	2015-09-16T03:33:12.133Z	"41km NW of Ester, Alaska"	earthquake
2015-09-16T03:10:15.270Z	41.8718333	-119.6038333	0.077	1.6	md	6	210	0.1639	0.51	uw	uw61066182	2015-09-16T18:13:20.400Z	"70km ESE of Lakeview, Oregon"	earthquake
2015-09-16T03:07:28.150Z	32.9225	-115.5441667	5.928	1.5	ml	21	74	0.02517	0.21	ci	ci37243295	2015-09-16T13:43:57.200Z	"6km SSW of Brawley, California"	earthquake
2015-09-16T03:03:57.000Z	52.4449	-169.6016	25.5	2.8	ml				0.49	ak	ak11703077	2015-09-16T11:06:26.595Z	"73km SW of Nikolski, Alaska"	earthquake
2015-09-16T02:54:24.800Z	18.5839	-66.324	24	2	Md	7	237.6	0.22188388	0.15	pr	pr15259001	2015-09-16T05:56:01.681Z	"13km N of Brenas, Puerto Rico"	earthquake
2015-09-16T02:52:42.000Z	61.318	-150.6682	36.7	1.5	ml				0.37	ak	ak11703058	2015-09-16T03:07:38.666Z	"42km WNW of Anchorage, Alaska"	earthquake
2015-09-16T02:50:51.350Z	33.2683333	-116.7773333	12.158	0.78	ml	21	52	0.03582	0.12	ci	ci37243287	2015-09-16T12:13:04.945Z	"3km NNW of Lake Henshaw, California"	earthquake
2015-09-16T02:30:02.180Z	35.9935	-96.8069	5	3.7	mwr		63	0.048	0.52	us	us20003jvi	2015-09-16T17:05:26.435Z	"3km WNW of Cushing, Oklahoma"	earthquake
2015-09-16T02:17:12.000Z	63.2627	-151.2164	0	2.4	ml				0.8	ak	ak11703048	2015-09-16T02:37:38.439Z	"114km W of Cantwell, Alaska"	earthquake
2015-09-16T02:06:24.312Z	38.6541	-118.7809	11.5	0.9	ml	6	161.21	0.204	0.1098	nn	nn00510942	2015-09-16T17:44:10.973Z	"19km NW of Hawthorne, Nevada"	earthquake
2015-09-16T02:02:16.740Z	32.9303333	-116.261	7.327	0.88	ml	15	98	0.01625	0.16	ci	ci37243271	2015-09-16T12:13:22.564Z	"27km SSW of Ocotillo Wells, California"	earthquake
2015-09-16T01:59:45.890Z	32.8405	-116.2698333	9.412	1.2	ml	17	101	0.07653	0.21	ci	ci37243263	2015-09-16T12:13:40.245Z	"24km E of Pine Valley, California"	earthquake
2015-09-16T01:57:40.000Z	63.5642	-153.3673	0.1	1.9	ml				0.62	ak	ak11703027	2015-09-16T02:11:24.784Z	"130km ENE of McGrath, Alaska"	earthquake
2015-09-16T01:56:33.880Z	37.4913333	-118.8433333	8.11	0.89	md	22	167	0.09685	0.03	nc	nc72525651	2015-09-16T16:12:13.440Z	"20km SSE of Mammoth Lakes, California"	earthquake
2015-09-16T01:55:59.040Z	47.8941667	-114.8821667	3.65	1.28	ml	5	167	0.077	0.03	mb	mb80098174	2015-09-16T16:29:33.917Z	"47km NE of Thompson Falls, Montana"	earthquake
2015-09-16T01:51:51.239Z	37.0319	-116.1403	10.1	0.7	ml	20	57.98	0.027	0.1994	nn	nn00510887	2015-09-16T02:45:22.884Z	"56km ENE of Beatty, Nevada"	earthquake
2015-09-16T01:51:09.000Z	62.9083	-150.8357	107.1	1.7	ml				0.37	ak	ak11703025	2015-09-16T02:11:24.177Z	"75km NNW of Talkeetna, Alaska"	earthquake
2015-09-16T01:36:00.770Z	36.0971667	-117.6466667	-0.001	0.39	ml	5	116	0.09676	0.09	ci	ci37243247	2015-09-16T17:41:53.746Z	"28km ENE of Coso Junction, California"	earthquake
2015-09-16T01:31:01.607Z	41.8908	-119.603	5.3	2.2	ml	7	179.27	0.155	0.2847	nn	nn00510920	2015-09-16T16:57:50.633Z	"69km ESE of Lakeview, Oregon"	earthquake
2015-09-16T01:26:51.360Z	-56.1366	-27.7215	83.52	4.6	mb		114	5.352	0.38	us	us20003jvf	2015-09-16T09:29:33.485Z	"70km NNW of Visokoi Island, South Georgia and the South Sandwich Islands"	earthquake
2015-09-16T01:07:44.000Z	60.0586	-152.2123	48.3	1.4	ml				0.92	ak	ak11703017	2015-09-16T01:20:25.815Z	"37km NW of Anchor Point, Alaska"	earthquake
2015-09-16T00:58:34.000Z	63.888	-148.7704	3.7	2	ml				0.66	ak	ak11703011	2015-09-16T01:20:25.196Z	"10km ENE of Healy, Alaska"	earthquake
2015-09-16T00:54:26.880Z	47.7025	-120.0418333	7.111	0.66	md	8	151	0.05867	0.07	uw	uw61066157	2015-09-16T03:11:16.310Z	"6km NNE of Waterville, Washington"	earthquake
2015-09-16T00:30:18.630Z	33.1796667	-116.95	15.278	1.17	ml	33	59	0.1699	0.21	ci	ci37243239	2015-09-16T12:14:11.950Z	"9km ESE of Valley Center, California"	earthquake
2015-09-16T00:10:16.450Z	33.9936667	-117.1755	14.844	0.62	ml	22	102	0.1021	0.13	ci	ci37243231	2015-09-16T13:37:35.728Z	"7km S of Redlands, California"	earthquake
2015-09-16T00:08:13.400Z	18.1292	-68.0951	70	2.9	Md	10	226.8	0.46892058	0.27	pr	pr15259000	2015-09-16T08:10:53.826Z	"59km SSE of Punta Cana, Dominican Republic"	earthquake
2015-09-16T00:07:45.650Z	-7.419	155.6419	87.49	4.8	mb		61	4.708	1.05	us	us20003jv1	2015-09-16T08:10:26.682Z	"123km S of Panguna, Papua New Guinea"	earthquake
2015-09-15T23:55:05.000Z	61.513	-141.2391	0	2.8	ml				0.41	ak	ak11702986	2015-09-16T07:57:48.458Z	"170km E of Chitina, Alaska"	earthquake
2015-09-15T23:47:09.190Z	-32.7918	-178.2737	10	4.9	mb		196	3.548	0.93	us	us20003juw	2015-09-16T07:49:53.245Z	"161km SSE of L'Esperance Rock, New Zealand"	earthquake
2015-09-15T23:45:32.640Z	36.5175	-98.9417	4.29	3.3	mb_lg		205	0.145	0.31	us	us20003juv	2015-09-16T00:37:31.176Z	"25km ENE of Mooreland, Oklahoma"	earthquake
2015-09-15T23:44:38.000Z	64.9892	-147.3352	1.3	1.8	ml				0.7	ak	ak11702983	2015-09-16T00:03:46.160Z	"23km NNE of Badger, Alaska"	earthquake
2015-09-15T23:17:15.060Z	41.8503333	-119.6061667	5.032	1.66	md	3	254	0.6742	0.4	uw	uw61066142	2015-09-16T00:16:20.800Z	"71km ESE of Lakeview, Oregon"	earthquake
2015-09-15T23:15:48.570Z	41.8475	-119.6055	2.832	1.61	md	3	255	0.6762	0.28	uw	uw61066137	2015-09-16T00:13:13.350Z	"72km ESE of Lakeview, Oregon"	earthquake
2015-09-15T23:11:07.990Z	34.8793333	-119.033	16.548	0.79	ml	15	99	0.0882	0.19	ci	ci37243223	2015-09-16T17:37:01.701Z	"10km NW of Frazier Park, California"	earthquake
2015-09-15T22:57:14.020Z	36.4635	-98.8654	3.03	3.3	mb_lg		75	0.138	0.74	us	us20003jul	2015-09-15T23:38:44.588Z	"30km E of Mooreland, Oklahoma"	earthquake
